IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.245.157.59,2052,0,false,ORD,North America,Chicago,326,0.00
13.247.66.207,8080,0,false,ORD,North America,Chicago,314,0.00
13.246.11.253,2087,0,false,ORD,North America,Chicago,322,0.00
13.247.66.207,2086,0,false,ORD,North America,Chicago,302,0.00
13.246.201.148,2087,0,false,ORD,North America,Chicago,327,0.00
13.245.82.65,2083,0,false,ORD,North America,Chicago,309,0.00
15.223.66.255,80,0,false,ORD,North America,Chicago,260,0.00
13.245.89.184,443,0,false,ORD,North America,Chicago,317,0.00
13.245.207.211,2082,0,false,ORD,North America,Chicago,301,0.00
13.244.112.154,2083,0,false,ORD,North America,Chicago,302,0.00
13.245.28.205,2086,0,false,ORD,North America,Chicago,300,0.00
13.245.237.18,2095,0,false,ORD,North America,Chicago,324,0.00
13.208.43.137,2083,0,false,ORD,North America,Chicago,78,0.00
13.246.41.34,8880,0,false,ORD,North America,Chicago,308,0.00
13.246.2.78,2086,0,false,ORD,North America,Chicago,299,0.00
13.246.41.34,2083,0,false,ORD,North America,Chicago,317,0.00
13.245.138.79,8443,0,false,ORD,North America,Chicago,311,0.00
13.245.197.227,2053,0,false,ORD,North America,Chicago,317,0.00
13.246.41.34,2053,0,false,ORD,North America,Chicago,302,0.00
13.246.194.180,80,0,false,ORD,North America,Chicago,309,0.00
13.246.240.4,80,0,false,ORD,North America,Chicago,315,0.00
13.245.109.195,2086,0,false,ORD,North America,Chicago,300,0.00
13.246.227.102,2052,0,false,ORD,North America,Chicago,308,0.00
13.247.62.71,80,0,false,ORD,North America,Chicago,302,0.00
13.246.201.148,8080,0,false,ORD,North America,Chicago,313,0.00
13.245.157.59,2087,0,false,ORD,North America,Chicago,299,0.00
13.247.59.250,80,0,false,ORD,North America,Chicago,299,0.00
13.245.207.211,8080,0,false,ORD,North America,Chicago,316,0.00
13.246.240.4,8880,0,false,ORD,North America,Chicago,306,0.00
13.244.104.215,2086,0,false,ORD,North America,Chicago,302,0.00
13.245.157.113,2083,0,false,ORD,North America,Chicago,313,0.00
13.245.28.205,2087,0,false,ORD,North America,Chicago,299,0.00
13.247.66.207,8443,0,false,ORD,North America,Chicago,301,0.00
13.245.231.85,2087,0,false,ORD,North America,Chicago,312,0.00
13.245.6.228,2053,0,false,ORD,North America,Chicago,303,0.00
13.246.201.148,2082,0,false,ORD,North America,Chicago,301,0.00
13.246.11.252,8880,0,false,ORD,North America,Chicago,302,0.00
13.245.138.79,443,0,false,ORD,North America,Chicago,310,0.00
13.245.89.184,2095,0,false,ORD,North America,Chicago,312,0.00
13.246.11.253,2086,0,false,ORD,North America,Chicago,313,0.00
3.138.140.254,2095,0,false,ORD,North America,Chicago,244,0.00
13.247.66.207,2053,0,false,ORD,North America,Chicago,311,0.00
13.246.233.50,2095,0,false,ORD,North America,Chicago,301,0.00
13.246.2.78,2082,0,false,ORD,North America,Chicago,298,0.00
13.247.62.71,2053,0,false,ORD,North America,Chicago,319,0.00
13.245.111.42,2082,0,false,ORD,North America,Chicago,297,0.00
13.245.237.18,8880,0,false,ORD,North America,Chicago,319,0.00
13.247.66.207,2052,0,false,ORD,North America,Chicago,301,0.00
13.246.2.78,2053,0,false,ORD,North America,Chicago,325,0.00
13.245.109.195,2087,0,false,ORD,North America,Chicago,306,0.00
13.245.237.18,443,0,false,ORD,North America,Chicago,297,0.00
13.246.11.253,2052,0,false,ORD,North America,Chicago,299,0.00
13.246.11.252,2087,0,false,ORD,North America,Chicago,311,0.00
13.245.89.184,2052,0,false,ORD,North America,Chicago,300,0.00
13.245.197.227,443,0,false,ORD,North America,Chicago,297,0.00
13.245.138.79,2082,0,false,ORD,North America,Chicago,325,0.00
13.245.89.184,8443,0,false,ORD,North America,Chicago,317,0.00
13.245.109.195,8880,0,false,ORD,North America,Chicago,324,0.00
13.246.221.6,8880,0,false,ORD,North America,Chicago,317,0.00
13.247.62.71,8880,0,false,ORD,North America,Chicago,306,0.00
13.245.138.79,8880,0,false,ORD,North America,Chicago,317,0.00
13.246.11.253,443,0,false,ORD,North America,Chicago,319,0.00
13.246.41.34,443,0,false,ORD,North America,Chicago,297,0.00
13.245.157.59,2053,0,false,ORD,North America,Chicago,311,0.00
13.245.197.227,80,0,false,ORD,North America,Chicago,306,0.00
13.246.221.6,443,0,false,ORD,North America,Chicago,302,0.00
13.245.231.85,2086,0,false,ORD,North America,Chicago,296,0.00
13.246.221.6,2087,0,false,ORD,North America,Chicago,304,0.00
