IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.37.94,2086,2086,false,NRT,Asia Pacific,Tokyo,0,3.70
47.74.14.85,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.51
47.91.18.207,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.28
47.74.34.135,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.27
47.245.33.158,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.24
47.74.34.73,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.21
47.245.52.153,2086,2086,false,NRT,Asia Pacific,Tokyo,0,2.00
47.245.37.89,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.99
8.209.240.229,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.94
47.74.43.95,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.90
47.74.7.51,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.86
168.138.185.28,2086,2086,false,SIN,Asia Pacific,Singapore,0,1.78
47.91.2.5,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.60
47.74.15.80,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.56
47.91.21.127,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.53
47.74.11.9,2086,2086,false,NRT,Asia Pacific,Tokyo,5,1.46
47.245.30.208,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.40
8.218.136.25,2086,2086,false,HKG,Asia Pacific,Hong Kong,6,1.38
47.74.41.136,2086,2086,false,NRT,Asia Pacific,Tokyo,6,1.35
47.91.2.165,2086,2086,false,NRT,Asia Pacific,Tokyo,8,1.25
47.245.32.215,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.24
8.209.241.128,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.24
158.178.242.5,2086,2086,false,SIN,Asia Pacific,Singapore,0,1.23
47.74.27.151,2086,2086,false,NRT,Asia Pacific,Tokyo,7,1.22
47.243.42.219,2086,2086,false,HKG,Asia Pacific,Hong Kong,8,1.21
47.245.55.235,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.19
158.101.69.12,2086,2086,false,NRT,Asia Pacific,Tokyo,7,1.18
8.209.222.31,2086,2086,false,NRT,Asia Pacific,Tokyo,7,1.17
47.245.15.39,2086,2086,false,NRT,Asia Pacific,Tokyo,4,1.15
8.209.243.99,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.14
8.209.243.137,2086,2086,false,NRT,Asia Pacific,Tokyo,6,1.14
47.74.39.194,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.13
47.245.4.219,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.11
8.217.167.88,2086,2086,false,HKG,Asia Pacific,Hong Kong,5,1.10
140.238.38.245,2086,2086,false,NRT,Asia Pacific,Tokyo,7,1.08
8.222.140.185,2086,2086,false,SIN,Asia Pacific,Singapore,0,1.07
47.74.42.17,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.07
47.74.10.135,2086,2086,false,NRT,Asia Pacific,Tokyo,13,1.06
47.245.37.12,2086,2086,false,NRT,Asia Pacific,Tokyo,5,1.05
47.245.8.185,2086,2086,false,NRT,Asia Pacific,Tokyo,8,1.05
141.147.169.195,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.04
8.209.214.157,2086,2086,false,NRT,Asia Pacific,Tokyo,7,1.02
152.70.106.13,2086,2086,false,NRT,Asia Pacific,Tokyo,0,1.01
47.91.23.146,2086,2086,false,NRT,Asia Pacific,Tokyo,4,1.01
