IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.74.43.24	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	3.39
47.245.37.94	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	3.35
8.209.200.73	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	3.19
47.245.55.99	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	3.12
47.74.5.233	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	3.04
47.245.32.215	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	2.88
8.209.222.31	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	2.76
8.209.241.128	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	2.33
8.210.9.129	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	0	2.06
47.245.8.68	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	3	1.59
47.245.33.163	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	8	1.54
138.2.104.2	8443	8443	TRUE	SIN	Asia Pacific	Singapore	5	1.52
47.74.26.132	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	6	1.44
158.179.188.175	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	1.31
8.222.219.34	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	1.26
138.3.218.160	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	1.24
47.74.34.38	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	13	1.23
213.35.98.197	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	1.22
8.222.237.131	8443	8443	TRUE	SIN	Asia Pacific	Singapore	8	1.16
150.230.212.9	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	1.15
8.209.243.137	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	4	1.07
47.245.40.55	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	0	1.06
8.222.164.209	8443	8443	TRUE	SIN	Asia Pacific	Singapore	2	1.05
8.222.155.242	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	1.05
8.222.182.10	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	1.03
132.145.121.175	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	1.02
8.222.174.108	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	1
131.186.47.223	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.99
8.222.238.141	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.99
47.245.55.235	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	3	0.97
168.138.200.159	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.96
8.219.245.232	8443	8443	TRUE	SIN	Asia Pacific	Singapore	2	0.93
8.219.42.72	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.9
47.245.53.101	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	3	0.89
8.222.145.110	8443	8443	TRUE	SIN	Asia Pacific	Singapore	4	0.89
8.222.137.166	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.88
168.138.209.84	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.85
150.230.207.53	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	7	0.85
8.210.65.1	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	6	0.85
8.222.168.155	8443	8443	TRUE	SIN	Asia Pacific	Singapore	8	0.85
47.74.12.139	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	2	0.84
47.236.79.87	8443	8443	TRUE	SIN	Asia Pacific	Singapore	3	0.83
47.236.106.37	8443	8443	TRUE	SIN	Asia Pacific	Singapore	3	0.83
8.219.159.232	8443	8443	TRUE	SIN	Asia Pacific	Singapore	2	0.82
8.219.72.51	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.82
8.222.167.8	8443	8443	TRUE	SIN	Asia Pacific	Singapore	6	0.82
140.238.33.94	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	7	0.81
168.138.212.184	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	4	0.8
47.236.155.170	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.79
150.230.208.83	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	8	0.79
8.219.40.255	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.77
47.236.104.123	8443	8443	TRUE	SIN	Asia Pacific	Singapore	7	0.76
8.222.128.131	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.76
8.222.164.209	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.76
47.236.10.100	8443	8443	TRUE	SIN	Asia Pacific	Singapore	7	0.75
