IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
192.151.255.22,41698,443,true,HKG,Asia Pacific,Hong Kong,33,0.00
154.197.92.68,5010,443,true,NRT,Asia Pacific,Tokyo,34,0.00
154.197.92.120,889,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
154.197.92.99,889,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
103.20.222.23,10008,443,true,HKG,Asia Pacific,Hong Kong,34,0.00
154.197.92.102,5010,443,true,NRT,Asia Pacific,Tokyo,35,0.00
154.197.92.114,889,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
154.197.92.94,889,80,false,HKG,Asia Pacific,Hong Kong,35,0.00
192.151.255.29,41698,443,true,HKG,Asia Pacific,Hong Kong,36,0.00
154.197.92.117,5010,443,true,NRT,Asia Pacific,Tokyo,36,0.00
154.197.92.126,889,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
192.151.223.244,80,0,false,HKG,Asia Pacific,Hong Kong,37,0.00
154.197.92.90,5010,443,true,NRT,Asia Pacific,Tokyo,37,0.00
154.197.92.74,5010,443,true,NRT,Asia Pacific,Tokyo,37,0.00
154.197.92.89,889,80,false,HKG,Asia Pacific,Hong Kong,37,0.00
154.197.92.103,889,80,false,HKG,Asia Pacific,Hong Kong,38,0.00
154.197.92.92,5010,443,true,NRT,Asia Pacific,Tokyo,40,0.00
154.197.92.105,889,80,false,HKG,Asia Pacific,Hong Kong,40,0.00
192.151.223.245,80,0,false,HKG,Asia Pacific,Hong Kong,40,0.00
154.197.92.85,889,80,false,HKG,Asia Pacific,Hong Kong,40,0.00
154.197.92.77,5010,443,true,NRT,Asia Pacific,Tokyo,43,0.00
172.247.127.126,443,0,false,HKG,Asia Pacific,Hong Kong,44,0.00
23.225.64.87,19710,443,true,HKG,Asia Pacific,Hong Kong,44,0.00
154.197.92.98,889,80,false,HKG,Asia Pacific,Hong Kong,47,0.00
23.225.64.248,48625,443,true,LAX,North America,Los Angeles,68,0.00
154.197.92.69,5010,443,true,NRT,Asia Pacific,Tokyo,71,0.00
154.197.92.73,889,80,false,HKG,Asia Pacific,Hong Kong,74,0.00
154.197.92.125,5010,443,true,NRT,Asia Pacific,Tokyo,75,0.00
192.151.223.242,80,0,false,HKG,Asia Pacific,Hong Kong,75,0.00
154.197.92.91,889,80,false,HKG,Asia Pacific,Hong Kong,76,0.00
154.197.92.71,5010,443,true,NRT,Asia Pacific,Tokyo,76,0.00
154.197.92.118,889,80,false,HKG,Asia Pacific,Hong Kong,76,0.00
154.197.92.84,889,80,false,HKG,Asia Pacific,Hong Kong,77,0.00
192.151.223.246,80,0,false,HKG,Asia Pacific,Hong Kong,77,0.00
154.197.92.79,889,80,false,HKG,Asia Pacific,Hong Kong,78,0.00
154.197.92.126,5010,443,true,NRT,Asia Pacific,Tokyo,78,0.00
192.151.223.243,80,0,false,HKG,Asia Pacific,Hong Kong,78,0.00
154.197.92.120,5010,443,true,NRT,Asia Pacific,Tokyo,78,0.00
154.197.92.122,889,80,false,HKG,Asia Pacific,Hong Kong,78,0.00
154.197.92.72,889,80,false,HKG,Asia Pacific,Hong Kong,80,0.00
154.197.92.101,5010,443,true,NRT,Asia Pacific,Tokyo,80,0.00
154.197.92.75,889,80,false,HKG,Asia Pacific,Hong Kong,81,0.00
154.197.92.79,5010,443,true,NRT,Asia Pacific,Tokyo,81,0.00
156.251.179.241,9000,0,false,HKG,Asia Pacific,Hong Kong,81,0.00
154.197.92.66,5010,443,true,NRT,Asia Pacific,Tokyo,81,0.00
